Image,kaomoji
foodlinebot\images\1.jpg,(〃∀〃)
foodlinebot\images\2.jpg,(^_っ^)
foodlinebot\images\3.jpg,(｡◕∀◕｡)
foodlinebot\images\4.jpg,(́◉◞౪◟◉‵)
foodlinebot\images\5.jpg,థ౪థ
foodlinebot\images\6.jpg,(◔౪◔)
foodlinebot\images\7.jpg,d(d＇∀＇)
foodlinebot\images\8.jpg,d(`･∀･)b
foodlinebot\images\9.jpg,(*´∀`)~♥
foodlinebot\images\10.jpg,σ`∀´)σ
foodlinebot\images\11.jpg,_(:3 」∠ )_
foodlinebot\images\12.png,< (￣︶￣)>
foodlinebot\images\13.png,(๑╹◡╹๑)
foodlinebot\images\14.jpg,_(¦3」∠)_
foodlinebot\images\15.png,( *´◒`*)
foodlinebot\images\16.jpg,ヽ(́◕◞౪◟◕‵)ﾉ
foodlinebot\images\17.jpg,ヽ(✿ﾟ▽ﾟ)ノ
foodlinebot\images\18.png,ヽ(●´ε｀●)ノ
foodlinebot\images\19.jpg,ε٩(๑> ₃ <)۶з
foodlinebot\images\20.jpg,(σ′▽‵)′▽‵)σ
foodlinebot\images\21.jpg,(శωశ)
foodlinebot\images\22.jpg,( ～'ω')～
foodlinebot\images\23.jpg,(✪ω✪)
foodlinebot\images\24.jpg,(´≖◞౪◟≖)
foodlinebot\images\25.jpg,(́=◞౪◟=‵)
foodlinebot\images\26.jpg,(◔⊖◔)つ
foodlinebot\images\27.jpg,(⁰▿⁰)
foodlinebot\images\28.jpg,(∂ω∂)
foodlinebot\images\29.jpg,(๑´ㅂ`๑)
foodlinebot\images\30.jpg,(´◓Д◔`)
foodlinebot\images\31.jpg,(๑´ڡ`๑)
foodlinebot\images\32.jpg,ヽ(・×・´)ゞ
foodlinebot\images\33.jpg,( σ՞ਊ ՞)σ
foodlinebot\images\34.jpg,(灬ºωº灬)
foodlinebot\images\35.jpg,(❛◡❛✿)
foodlinebot\images\36.jpg,(◕ܫ◕)
foodlinebot\images\37.jpg,( ิ◕㉨◕ ิ)
foodlinebot\images\38.jpg,(๑• . •๑)
foodlinebot\images\39.jpg,(´ΘωΘ`)
foodlinebot\images\40.jpg,( ^ω^)
foodlinebot\images\41.jpg,(ㅅ˘ㅂ˘)
foodlinebot\images\42.jpg,(๑´ㅁ`)
foodlinebot\images\43.jpg,(〒︿〒)
foodlinebot\images\44.jpg,＼(●o○;)ノ
foodlinebot\images\45.jpg,இдஇ
foodlinebot\images\46.jpg,(´;ω;`)
foodlinebot\images\47.jpg,(´Ａ｀。)
foodlinebot\images\48.jpg,｡ﾟ(ﾟ´ω`ﾟ)ﾟ｡
foodlinebot\images\49.jpg,(╥﹏╥)
foodlinebot\images\50.jpg,(☍﹏⁰)
foodlinebot\images\51.jpg,(;´༎ຶД༎ຶ`)
foodlinebot\images\52.jpg,ΩДΩ
foodlinebot\images\53.jpg,( ´•̥×•̥` )
foodlinebot\images\54.jpg,( ͡o ͜ʖ ͡o)
foodlinebot\images\55.jpg,(*´艸`*)
foodlinebot\images\56.jpg,(ﾉ∀`*)
foodlinebot\images\57.jpg,(´◉‿◉｀)
foodlinebot\images\58.jpg,(ノ〠_〠)
foodlinebot\images\59.jpg,(・ω・)
foodlinebot\images\60.jpg,(΄◞ิ౪◟ิ‵)
foodlinebot\images\61.jpg,(つд⊂)
foodlinebot\images\62.jpg,(๑ơ ₃ ơ)♥
foodlinebot\images\63.jpg,(*ˇωˇ*人)
foodlinebot\images\64.jpg,(o´罒`o)
foodlinebot\images\65.jpg,(´///☁///`)
foodlinebot\images\66.jpg,(≧∀≦)ゞ
foodlinebot\images\67.jpg,Ծ‸Ծ
foodlinebot\images\68.jpg,(￫ܫ￩)
foodlinebot\images\69.jpg,(◕ H ◕)
foodlinebot\images\70.jpg,(●´ω｀●)ゞ
foodlinebot\images\71.jpg,(ﾟд⊙)
foodlinebot\images\72.jpg,(‘⊙д-)
foodlinebot\images\73.jpg,(д) ﾟﾟ
